LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (бу)
0.45892428,0.322190974,0.401291267,1.025707951
0.456488668,0.301982407,0.362028371,0.986364747
0.473133846,0.287963595,0.334975298,0.996384747
0.45136476,0.284035904,0.327424325,0.977815592
0.52998289,0.427841009,0.610574249,0.952901202
0.737450119,0.625525339,1.003360474,0.933055069
0.968680529,0.689587375,1.114886177,0.936019415
1.167588378,0.796214225,1.267768735,0.903071289
1.094369062,0.746593138,1.201440815,0.914424419
0.973336667,0.673407039,1.088188497,0.908684742
1.011212464,0.724346738,1.169022803,0.884739695
1.299642113,0.94471867,1.421432644,0.830666518
1.37859731,0.98630803,1.453605256,0.80383464
1.348960045,0.918414532,1.398757596,0.808224196
1.474603949,0.931867544,1.410584923,0.828928335
1.627648746,1.04320894,1.4906821,0.81574041
1.490768417,0.938235914,1.416015064,0.821664571
1.539654677,1.002264587,1.464793139,0.80535549
1.491291412,0.957564802,1.431843408,0.777402637
1.433546113,0.916427537,1.396969341,0.788316731
1.313192543,0.865763817,1.347672843,0.786776786
1.661863015,1.114398285,1.526495407,0.805242049
1.79430923,1.310579489,1.570631966,0.840511583
1.792095549,1.403696362,1.572484318,0.844325359
1.794475186,1.356600155,1.572484318,0.860929288
1.79444837,1.383713161,1.572484318,0.852287891
1.794407491,1.383820284,1.572484318,0.854868222
1.756272165,1.334715521,1.572484318,0.837025669
1.698450733,1.31909917,1.570869989,0.837948245
1.693016572,1.304584915,1.570384251,0.834115535
1.707746882,1.272074454,1.567876329,0.83429047
1.742677855,1.303490082,1.570331832,0.829180785
1.73627965,1.266308196,1.567224388,0.854433393
1.776896812,1.16544034,1.54539303,0.853858584
1.768093842,1.189369162,1.552395387,0.849305745
1.789235296,1.218921486,1.559458099,0.840964537
1.668970048,1.25057519,1.565124512,0.816537893
1.617465436,1.328406613,1.572484318,0.793297117
1.614272522,1.398520416,1.572484318,0.786540357
1.618950225,1.290570188,1.569545182,0.774040683
1.620291935,1.257569503,1.566116247,0.781753031
1.617813475,1.13333681,1.534147708,0.799800295
1.638289043,1.138520019,1.536109154,0.789883216
1.690773075,1.232936212,1.562206425,0.758139891
1.723337537,1.290686844,1.569553674,0.763770336
1.74250121,1.207991084,1.557047555,0.781402999
1.689541064,1.112563577,1.525713215,0.802014735
1.684063773,1.136373474,1.53530373,0.837835937
1.782967043,1.220673128,1.55982257,0.836328842
1.735557696,1.236217988,1.562794796,0.851551903
1.761325472,1.35214048,1.572484318,0.842463054
1.794200281,1.491351553,1.572484318,0.813328703
1.794283165,1.590034735,1.572484318,0.784011973
1.785853361,1.659260689,1.572484318,0.780031678
1.709521202,1.584592117,1.572484318,0.798701652
1.691763746,1.578607074,1.572484318,0.794507097
1.665578362,1.449638502,1.572484318,0.781256708
1.638576325,1.496658452,1.572484318,0.743335639
1.633797173,1.50434044,1.572484318,0.728423287
1.650903182,1.361440661,1.572484318,0.741054365
1.687467835,1.296198457,1.569926019,0.747067692
1.689241406,1.29133412,1.569600336,0.74387339
1.731477621,1.263928341,1.56693697,0.744906331
1.722030893,1.21254608,1.558080691,0.770691512
1.724901272,1.23217001,1.562066051,0.781754002
1.763430766,1.382492368,1.572484318,0.785640923
1.695278633,1.350210451,1.572484318,0.808084216
1.76188147,1.307899826,1.570529442,0.802623528
1.730823174,1.240472949,1.563526632,0.798947629
1.709357497,1.286193806,1.569208216,0.835436852
1.75674603,1.218595578,1.559389622,0.827581449
1.619891016,1.114681526,1.526615514,0.791727396
1.698618939,1.175968577,1.54861721,0.821595632
1.744308535,1.2334194,1.562294363,0.837199471
1.660836152,1.140204936,1.536734571,0.812958605
1.562123403,1.086754657,1.513932897,0.850996189
1.511142536,1.013387674,1.472223312,0.83118841
1.728878397,1.201484725,1.555500617,0.80117372
1.690869085,1.20747703,1.556928386,0.835405134
1.557720793,1.039684549,1.488609916,0.827509274
1.365180395,0.828767581,1.306998498,0.818031232
1.6718243,1.134460013,1.534577569,0.852850078
1.651089203,1.084496223,1.512832272,0.817387485
1.182455391,0.774251065,1.239407235,0.794347051
0.941107866,0.541548643,0.832132604,0.827112636
1.495513627,0.951098841,1.426656912,0.828905032
1.783079931,1.253733275,1.565583873,0.818722719
1.790422677,1.341626542,1.572484318,0.830173431
1.618392539,0.975665408,1.445791392,0.779764501
1.59673559,0.973640284,1.444272283,0.799830071
1.766471601,1.188771815,1.552234684,0.814859101
1.72906423,1.127813168,1.531994859,0.806725679
1.702893285,1.011424283,1.470933573,0.767062219
1.442029548,0.886432423,1.368655484,0.779529043
1.313565146,0.797675364,1.269600655,0.751296068
1.46771819,0.835004998,1.314142581,0.771757304
1.684758162,1.123032352,1.530079134,0.805642895
1.393629529,0.898260207,1.380118275,0.831755775
1.709395939,1.315470152,1.570784938,0.86700411
1.791878962,1.774947601,1.572484318,0.798213743
1.789205293,1.833164626,1.572484318,0.784970636
1.792743995,2.111508698,1.572484318,0.790179036
1.792606355,2.071125606,1.572484318,0.741329147
1.791683191,1.868990226,1.572484318,0.727740215
1.783970841,1.462548863,1.572484318,0.748912034
1.792493468,1.891169901,1.572484318,0.768078331
1.792512032,2.008720118,1.572484318,0.771127312
1.78466598,1.784723934,1.572484318,0.802406032
1.774964974,1.472498817,1.572484318,0.839577356
1.789640153,1.676050172,1.572484318,0.828907135
1.733725056,1.253499965,1.565550589,0.847335178
1.760889861,1.460211902,1.572484318,0.846567309
1.743205538,1.404503189,1.572484318,0.858613059
1.707577926,1.234157005,1.562427731,0.835326648
1.737898141,1.164607414,1.545128272,0.797681333
1.265582173,0.704218285,1.138201049,0.833482307
0.699365424,0.403611244,0.562097447,0.834592763
0.749869425,0.436015037,0.626975094,0.812867335
0.008270605,0.392968168,0.540878771,0.805023583
1.201904096,0.695755797,1.124810502,0.788169307
1.488429472,0.876306352,1.358528283,0.825281079
1.4448883,0.868167502,1.350176079,0.812027453
1.540415824,0.929257102,1.408327894,0.835866503
1.417862636,0.855323639,1.336605154,0.875982754
1.415528379,0.829650438,1.308016859,0.874780056
1.60751259,1.034824979,1.485705034,0.927434173
1.653911014,1.059912862,1.500111631,0.925546461
1.729743243,1.129981274,1.532847601,0.911944907
1.782954667,1.28499185,1.569109403,0.942315778
1.710515812,1.225734915,1.560842067,0.924105231
1.559699323,0.946746063,1.42310426,0.883383261
1.24914655,0.743542176,1.197095409,0.830204178
1.703997031,1.163315129,1.54471468,0.845534368
1.679893126,1.129757496,1.532760049,0.863187259
1.75788353,1.158020032,1.542984094,0.872603807
1.618703635,1.092839786,1.516842146,0.842196849
1.709642528,1.140516546,1.536849582,0.841922229
1.752016946,1.31286425,1.570708916,0.823393368
1.701452376,1.486989469,1.572484318,0.864778018
1.783286391,1.493757507,1.572484318,0.8746582
1.778966852,1.27017529,1.567668549,0.85184044
1.790313727,1.271798249,1.567846534,0.837059491
1.793101785,1.34605762,1.572484318,0.860217735
1.753104566,1.230920394,1.561834668,0.878382809
1.754808941,1.211943967,1.557946472,0.876841731
1.779562793,1.216877298,1.559025149,0.867425183
1.653723681,1.081235781,1.5112233,0.844926708
1.642097963,1.07679517,1.508993733,0.764110658
1.726257046,1.138981646,1.536281098,0.712622181
1.726529701,1.155181046,1.542032394,0.723818339
1.695386833,1.261674674,1.566654887,0.6923519
1.692113285,1.152853618,1.541239726,0.711703651
1.546636446,1.019184797,1.475977241,0.741661054
1.295749371,0.843041491,1.323174219,0.722521296
1.377642643,0.922631592,1.402517444,0.747985089
1.083754268,0.772223445,1.236710043,0.760989502
1.115991507,0.812047092,1.287260562,0.772840089
1.060732357,0.751381218,1.208196691,0.774339739
1.105746691,0.706205507,1.141308107,0.842792858
0.952966298,0.632878923,1.016968323,0.868348892
0.805352662,0.575363644,0.904671066,0.821048495
1.392856756,0.956431841,1.430942453,0.826275829
1.635645189,1.076380977,1.50878352,0.836097592
1.631095938,1.056214623,1.498079338,0.841869149
1.781483005,1.282816709,1.568923706,0.838028834
1.79346595,1.307105028,1.570496482,0.841511674
1.784234308,1.26302642,1.566825237,0.849321604
1.50000606,1.009639505,1.469753079,0.851958088
1.243994983,0.874383585,1.356572282,0.866798428
0.842133901,0.652043495,1.051433894,0.859127507
0.512865348,0.423931474,0.602737751,0.800409088
0.2161035,0.266119586,0.293146999,0.776067403
0.274689173,0.330340037,0.417206816,0.690995467
0.557702287,0.520562072,0.784564996,0.696714916
0.840186874,0.576835677,0.90771652,0.724676346
0.637237392,0.456357508,0.667876541,0.789085571
0.227709247,0.23890218,0.241633179,0.792079531
-0.123394493,0.05597109,-0.082047371,0.703783517
0.026875092,0.17218817,0.118618824,0.629218518
0.225090896,0.267988338,0.296709153,0.54307108
0.212660996,0.228642432,0.222401844,0.520234386
0.14486909,0.102190455,-0.004572687,0.609706397
0.405177578,0.29402671,0.346656443,0.698988747
1.156093174,0.833424707,1.312343728,0.601426683
1.163218772,0.710151128,1.147435261,0.579012034
0.905031705,0.494305822,0.744416496,0.555164569
1.646976875,1.073101697,1.507105595,0.618749772
1.526345961,0.86987625,1.351945435,0.652719188
1.17420917,0.722706984,1.166565452,0.740910177
0.921568589,0.56403834,0.880930193,0.793020231
0.008264417,0.048891895,-0.093615107,0.854912886
-0.173271612,-0.031747875,-0.220249251,0.902071198
-0.506206945,-0.283870308,-0.547595202,1.004009062
-0.839275674,-0.701902967,-0.904594627,1.062447359
-0.887918322,-0.78371882,-0.955038964,0.987597059
-0.765173629,-0.568343312,-0.810830856,0.850350338
-0.407605911,-0.274628114,-0.537257173,0.942512074
0.082532817,0.081459549,-0.039730947,0.755965746
0.194143237,0.190029592,0.151025533,0.528210674
0.062203234,0.131804624,0.046737614,0.488136822
-0.291102046,-0.149136499,-0.384853842,0.517541586
-0.657489399,-0.448576535,-0.711763476,0.428182854
-0.632535791,-0.459141198,-0.721153239,0.296440352
-0.47037231,-0.319913558,-0.586781782,0.289644429
-0.296144054,-0.173749819,-0.41656138,0.317023606
-0.207185145,-0.136369574,-0.368041879,0.369433849
-0.057399879,0.080518819,-0.0413109,0.322084581
-0.111691141,-0.000812598,-0.172855347,0.315469905
-0.0414775,0.012180942,-0.152402839,0.34418739
-0.139653284,-0.080977123,-0.292092077,0.401823025
-0.159396115,-0.087414715,-0.301177074,0.461182927
0.141010197,0.082168218,-0.038539841,0.514518982
0.071687466,0.098096519,-0.011566704,0.537634666
0.170854859,0.128095037,0.040242845,0.547734285
-0.088320629,-0.032674307,-0.221641081,0.577607862
-0.241294684,-0.099901464,-0.31860182,0.591392928
-0.360263555,-0.15775831,-0.396065335,0.548334663
-0.500693134,-0.295344949,-0.560265499,0.484309291
-0.477136227,-0.266376355,-0.527926596,0.49296331
0.042670801,0.023021129,-0.135175258,0.661482441
0.231008204,0.160199021,0.097059811,0.76019299
0.240238253,0.103262479,-0.002737183,0.800411191
0.174395812,0.071019598,-0.057187791,0.730491273
0.611196961,0.339564188,0.435276046,0.771377658
0.845379134,0.525930703,0.796923188,0.803308703
0.95879444,0.558449562,0.869010648,0.73717068
0.645685573,0.419787948,0.594438064,0.717746754
0.998497626,0.596522928,0.947567979,0.604434399
1.672191465,1.097496912,1.519013479,0.568511569
1.325698483,0.821518624,1.298546973,0.619659725
1.019102208,0.704318372,1.138357876,0.584268173
0.81317021,0.695372696,1.124198172,0.448625965
0.517179635,0.443297356,0.641604133,0.371572878
0.240686896,0.200595731,0.170393347,0.305942991
-0.195738837,-0.061866339,-0.264706955,0.234306089
-0.68552287,-0.456657398,-0.718957638,0.24394434
-0.821832093,-0.660503455,-0.877181065,0.354596746
-0.906867314,-0.850344204,-0.989049281,0.423600238
-0.828755144,-0.682367436,-0.891829414,0.272810382
-0.640348604,-0.401017452,-0.667799626,0.152094444
-0.715567898,-0.562364057,-0.806248573,0.181713467
-0.746207321,-0.594617265,-0.830549262,0.206423146
-0.902655483,-0.856654701,-0.992262429,0.278337905
-0.908202361,-0.913891051,-1.017644902,0.462034622
-0.736298026,-0.643711361,-0.865660471,0.692274385
-0.681256166,-0.556917467,-0.802043202,0.701088613
-0.653533158,-0.494468631,-0.751602362,0.847473055
-0.631199167,-0.468423109,-0.729293625,0.834683872
-0.815341089,-0.743462369,-0.930797586,0.733422768
-0.780951171,-0.63892419,-0.862331809,0.648030414
-0.762795257,-0.628381201,-0.854930119,0.695831503
-0.732639638,-0.601351827,-0.835496624,0.620611105
-0.790623967,-0.698127222,-0.902150547,0.673742449
-0.659862027,-0.50124745,-0.757282289,0.62028114
-0.585016931,-0.406860307,-0.673353833,0.677146803
-0.645322027,-0.486944149,-0.745237125,0.785274061
-0.242606906,-0.125066965,-0.352945794,0.759423179
